No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Fakfak;9101;Kab. Fak Fak;92.03
2;Kaimana;9102;Kab. Kaimana;92.08
3;Teluk Wondama;9103;Kab. Teluk Wondama;92.07
4;Teluk Bintuni;9104;Kab. Teluk Bintuni;92.06
5;Manokwari;9105;Kab. Manokwari;92.02
6;Manokwari;9105;Kab. Manokwari;92.02
7;Manokwari;9105;Kab. Manokwari;92.02
8;Sorong Selatan;9106;Kab. Sorong Selatan;92.04
9;Sorong;9107;Kab. Sorong;92.01
10;Raja Ampat;9108;Kab. Raja Ampat;92.05
11;Tambrauw;9109;Kab. Tambrauw;92.09
12;Maybrat;9110;Kab. Maybrat;92.10
13;Manokwari Selatan;9111;Kab. Manokwari Selatan;92.11
14;Manokwari Selatan;9111;Kab. Manokwari Selatan;92.11
15;Manokwari Selatan;9111;Kab. Manokwari Selatan;92.11
16;Pegunungan Arfak;9112;Kab. Pegunungan Arfak;92.12
17;Pegunungan Arfak;9112;Kab. Pegunungan Arfak;92.12
18;Pegunungan Arfak;9112;Kab. Pegunungan Arfak;92.12
19;Sorong;9171;Kota Sorong;92.71
