No;Nama Provinsi;Kode Provinsi;Nama Provinsi;Kode Provinsi
1;Aceh;11;Aceh;11
2;Sumatera Utara;12;Sumatera Utara;12
3;Sumatera Barat;13;Sumatera Barat;13
4;Riau;14;Riau;14
5;Jambi;15;Jambi;15
6;Sumatera Selatan;16;Sumatera Selatan;16
7;Bengkulu;17;Bengkulu;17
8;Lampung;18;Lampung;18
9;Kep. Bangka Belitung;19;Kep. Bangka Belitung;19
10;Kep. Riau;21;Kep. Riau;21
11;Dki Jakarta;31;Dki Jakarta;31
12;Jawa Barat;32;Jawa Barat;32
13;Jawa Tengah;33;Jawa Tengah;33
14;Di Yogyakarta;34;Di Yogyakarta;34
15;Jawa Timur;35;Jawa Timur;35
16;Banten;36;Banten;36
17;Bali;51;Bali;51
18;Nusa Tenggara Barat;52;Nusa Tenggara Barat;52
19;Nusa Tenggara Timur;53;Nusa Tenggara Timur;53
20;Kalimantan Barat;61;Kalimantan Barat;61
21;Kalimantan Tengah;62;Kalimantan Tengah;62
22;Kalimantan Selatan;63;Kalimantan Selatan;63
23;Kalimantan Timur;64;Kalimantan Timur;64
24;Kalimantan Utara;65;Kalimantan Utara;65
25;Sulawesi Utara;71;Sulawesi Utara;71
26;Sulawesi Tengah;72;Sulawesi Tengah;72
27;Sulawesi Selatan;73;Sulawesi Selatan;73
28;Sulawesi Tenggara;74;Sulawesi Tenggara;74
29;Gorontalo;75;Gorontalo;75
30;Sulawesi Barat;76;Sulawesi Barat;76
31;Maluku;81;Maluku;81
32;Maluku Utara;82;Maluku Utara;82
33;Papua Barat;91;Papua Barat;92
34;Papua;94;Papua;91
