No;Nama Kabupaten / Kota;Kode Kabupaten / Kota;Nama Kabupaten / Kota;Kode Kabupaten / Kota
1;Kuantan Singingi;1401;Kab. Kuantan Singingi;14.09
2;Indragiri Hulu;1402;Kab. Indragiri Hulu;14.02
3;Indragiri Hilir;1403;Kab. Indragiri Hilir;14.04
4;Pelalawan;1404;Kab. Pelalawan;14.05
5;S I A K;1405;Kab. Siak;14.08
6;Kampar;1406;Kab. Kampar;14.01
7;Rokan Hulu;1407;Kab. Rokan Hulu;14.06
8;Bengkalis;1408;Kab. Bengkalis;14.03
9;Rokan Hilir;1409;Kab. Rokan Hilir;14.07
10;Kepulauan Meranti;1410;Kab. Kepulauan Meranti;14.10
11;Pekanbaru;1471;Kota Pekanbaru;14.71
12;D U M A I;1473;Kota Dumai;14.72
